TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
a_a006714,A03,a006714,11;5;,2022-10-09,2022-10-10,대중교통 등,,11;5;,11;5;21
a_a002989,A03,a002989,1;13;4;6;8;,2022-09-24,2022-09-26,자가용,,1;13;4;6;8;,5;1;27
a_a018209,A03,a018209,11;21;27;28;,2022-11-12,2022-11-13,,수도권 거주 39세 이하 자녀 동반,11;21;27;28;,11;21;27
a_a006101,A01,a006101,22;23;26;6;,2022-10-29,2022-10-31,대중교통 등,,22;23;26;6;,23;9;22
a_a008209,A01,a008209,22;1;4;4;1;3;,2022-10-23,2022-10-24,자가용,,22;1;4;4;1;3;,4;1;3
a_a005593,A01,a005593,1;22;6;,2022-10-12,2022-10-13,대중교통 등,,1;22;6;,1;22;6
a_a001157,A03,a001157,1;12;22;5;7;,2022-09-03,2022-09-06,대중교통 등,,1;12;22;5;7;,1;27;24
a_a000637,A01,a000637,22;23;25;,2022-08-29,2022-08-31,자가용,,22;23;25;,23;25;22
a_a005806,A01,a005806,22;4;9;4;11;,2022-10-15,2022-10-16,대중교통 등,,22;4;9;4;11;,1;26;21
a_a000277,A01,a000277,22;3;6;,2022-08-19,2022-08-21,대중교통 등,,22;3;6;,22;6;3
a_a000428,A01,a000428,1;2;27;4;6;,2022-09-02,2022-09-05,자가용,,1;2;27;4;6;,23;5;2
a_a018074,A01,a018074,4;,2022-11-12,2022-11-13,,,4;,1;4;27
a_a004431,A01,a004431,1;22;5;6;,2022-09-30,2022-10-01,대중교통 등,수도권 외 거주 39세 이하 커플,1;22;5;6;,22;5;2
a_a003282,A03,a003282,2;,2022-10-09,2022-10-10,자가용,,2;,10;2;22
a_a000307,A03,a000307,21;22;24;27;8;,2022-08-25,2022-08-27,자가용,,21;22;24;27;8;,8;21;24
a_a000980,A03,a000980,1;22;23;4;5;,2022-08-24,2022-08-25,자가용,수도권 거주 39세 이하 커플,1;22;23;4;5;,5;4;22
a_a010475,A02,a010475,1;12;26;3;6;,2022-10-21,2022-10-23,대중교통 등,수도권 외 거주 39세 이하 커플,1;12;26;3;6;,1;26;4
a_a008206,A01,a008206,1;22;3;6;7;,2022-10-16,2022-10-17,대중교통 등,,1;22;3;6;7;,6;1;22
a_a008349,A01,a008349,1;11;6;,2022-10-15,2022-10-17,대중교통 등,,1;11;6;,11;1;22
a_a005195,A03,a005195,4;21;28;,2022-10-14,2022-10-15,,,4;21;28;,21;28;4
a_a005824,A03,a005824,10;4;8;,2022-10-08,2022-10-10,자가용,,10;4;8;,10;8;4
a_a013871,A01,a013871,1;22;23;26;7;,2022-10-28,2022-10-31,대중교통 등,수도권 외 거주 39세 이하 커플,1;22;23;26;7;,23;4;6
a_a000286,A03,a000286,12;3;,2022-08-26,2022-08-29,자가용,,12;3;,3;4;8
a_a005562,A03,a005562,22;3;5;,2022-10-01,2022-10-02,대중교통 등,,22;3;5;,28;3;22
a_a006278,A01,a006278,2;4;9;,2022-10-21,2022-10-22,,,2;4;9;,9;22;2
a_a018134,A01,a018134,22;24;4;,2022-11-12,2022-11-13,,,22;24;4;,4;22;24
a_a000618,A01,a000618,1;4;6;,2022-09-06,2022-09-08,대중교통 등,수도권 거주 39세 이하 커플,1;4;6;,6;4;3
a_a004497,A03,a004497,22;26;28;3;,2022-10-02,2022-10-03,자가용,,22;26;28;3;,1;22;3
a_a005182,A01,a005182,1;4;,2022-10-29,2022-10-30,,,1;4;,4;24;27
a_a008024,A03,a008024,2;21;22;3;,2022-10-19,2022-10-20,,,2;21;22;3;,21;22;6
a_a003352,A03,a003352,22;4;12;3;,2022-10-22,2022-10-23,대중교통 등,,22;4;12;3;,12;22;3
a_a003024,A01,a003024,1;22;27;4;9;,2022-10-08,2022-10-10,대중교통 등,수도권 거주 39세 이하 커플,1;22;27;4;9;,9;6;4
a_a006065,A02,a006065,1;22;24;3;4;,2022-10-06,2022-10-07,대중교통 등,수도권 거주 40세 이상 나홀로,1;22;24;3;4;,4;24;3
a_a011533,A02,a011533,1;2;22;,2022-10-25,2022-10-26,대중교통 등,수도권 거주 39세 이하 커플,1;2;22;,22;2;4
a_a002251,A03,a002251,1;22;6;,2022-09-25,2022-09-26,대중교통 등,,1;22;6;,1;6;22
a_a006371,A02,a006371,2;22;4;6;9;,2022-10-08,2022-10-09,대중교통 등,수도권 거주 39세 이하 커플,2;22;4;6;9;,6;2;4
a_a001954,A03,a001954,1;10;22;27;8;,2022-09-15,2022-09-18,자가용,,1;10;22;27;8;,1;6;8
a_a004399,A03,a004399,1;12;22;3;6;,2022-10-08,2022-10-11,자가용,수도권 거주 40세 이상 자녀 동반,1;12;22;3;6;,3;6;9
a_a003305,A01,a003305,1;22;23;6;,2022-10-02,2022-10-04,대중교통 등,수도권 거주 39세 이하 커플,1;22;23;6;,6;23;1
a_a004307,A03,a004307,28;,2022-10-16,2022-10-17,,,28;,28;27;24
a_a017685,A01,a017685,13;21;25;27;3;,2022-11-12,2022-11-13,,,13;21;25;27;3;,13;21;3
a_a006833,A03,a006833,1;2;4;5;6;,2022-10-16,2022-10-17,대중교통 등,,1;2;4;5;6;,2;6;1
a_a006260,A03,a006260,2;22;24;26;27;,2022-10-15,2022-10-17,자가용,,2;22;24;26;27;,2;22;27
a_a004223,A03,a004223,1;22;3;4;6;,2022-10-11,2022-10-13,대중교통 등,,1;22;3;4;6;,23;24;1
a_a003779,A03,a003779,10;12;21;22;6;,2022-09-30,2022-10-04,대중교통 등,,10;12;21;22;6;,21;6;9
a_a001955,A03,a001955,22;28;8;,2022-09-17,2022-09-19,자가용,,22;28;8;,8;5;22
a_a002761,A03,a002761,11;3;4;6;9;,2022-09-26,2022-09-29,자가용,수도권 거주 40세 이상 커플,11;3;4;6;9;,3;12;25
a_a005650,A03,a005650,1;2;3;6;9;,2022-10-09,2022-10-10,,,1;2;3;6;9;,1;22;4
a_a003697,A03,a003697,2;22;6;,2022-10-01,2022-10-02,자가용,,2;22;6;,2;22;27
a_a001244,A02,a001244,1;21;22;26;5;,2022-08-26,2022-08-29,자가용,,1;21;22;26;5;,1;22;21
a_a002245,A02,a002245,1;22;4;5;,2022-09-30,2022-10-03,대중교통 등,,1;22;4;5;,3;1;22
a_a007884,A03,a007884,1;21;6;,2022-10-16,2022-10-17,자가용,,1;21;6;,2;21;6
a_a000877,A01,a000877,11;12;22;4;6;,2022-08-26,2022-08-29,대중교통 등,,11;12;22;4;6;,6;12;11
a_a002159,A01,a002159,1;23;4;6;,2022-09-25,2022-09-27,자가용,,1;23;4;6;,23;4;6
a_a001226,A02,a001226,2;22;24;4;6;,2022-09-01,2022-09-03,대중교통 등,,2;22;24;4;6;,6;4;2
a_a001595,A03,a001595,22;24;6;8;,2022-09-03,2022-09-05,자가용,수도권 거주 40세 이상 부부,22;24;6;8;,9;6;22
a_a002056,A03,a002056,1;12;3;6;8;,2022-09-09,2022-09-11,자가용,수도권 거주 40세 이상 자녀 동반,1;12;3;6;8;,3;8;6
a_a005324,A01,a005324,1;21;22;4;,2022-10-15,2022-10-16,대중교통 등,,1;21;22;4;,21;4;1
a_a006674,A03,a006674,25;27;,2022-10-15,2022-10-16,자가용,,25;27;,27;25;11
a_a002737,A03,a002737,12;2;22;4;6;,2022-10-01,2022-10-02,자가용,,12;2;22;4;6;,2;6;4
a_a002979,A01,a002979,1;23;,2022-10-03,2022-10-05,대중교통 등,,1;23;,1;3;23
a_a003599,A03,a003599,1;10;21;23;8;,2022-09-30,2022-10-03,자가용,수도권 거주 39세 이하 커플,1;10;21;23;8;,1;2;23
a_a006656,A03,a006656,2;22;,2022-10-09,2022-10-10,,수도권 거주 39세 이하 3인 이상 친구,2;22;,2;22;6
a_a018000,A01,a018000,1;4;6;22;26;,2022-11-11,2022-11-12,,수도권 거주 39세 이하 커플,1;4;6;22;26;,4;1;22
a_a006976,A03,a006976,22;,2022-10-10,2022-10-11,자가용,,22;,22;1;4
a_a004818,A03,a004818,2;24;,2022-10-01,2022-10-02,자가용,수도권 거주 39세 이하 3인 이상 친구,2;24;,24;2;21
a_a010193,A02,a010193,13;21;24;3;4;,2022-10-30,2022-10-31,대중교통 등,수도권 거주 40세 이상 나홀로,13;21;24;3;4;,4;2;3
a_a000822,A03,a000822,10;6;9;,2022-08-27,2022-08-29,자가용,,10;6;9;,6;2;10
a_a011614,A01,a011614,1;6;9;,2022-10-29,2022-10-31,대중교통 등,,1;6;9;,6;9;26
a_a002410,A02,a002410,2;23;24;26;27;,2022-09-23,2022-09-25,대중교통 등,,2;23;24;26;27;,23;22;6
a_a009817,A01,a009817,3;6;,2022-10-31,2022-11-01,대중교통 등,,3;6;,1;3;6
a_a006410,A03,a006410,6;,2022-10-23,2022-10-24,대중교통 등,,6;,1;2;6
a_a013672,A03,a013672,2;,2022-10-28,2022-10-30,자가용,,2;,2;4;11
a_a010301,A01,a010301,11;22;4;9;,2022-10-23,2022-10-24,자가용,,11;22;4;9;,5;11;22
a_a007878,A03,a007878,22;21;26;27;,2022-10-28,2022-10-29,자가용,,22;21;26;27;,21;22;26
a_a000714,A03,a000714,8;,2022-08-19,2022-08-22,자가용,,8;,8;22;26
a_a013867,A03,a013867,24;,2022-10-29,2022-10-30,대중교통 등,,24;,1;9;7
a_a001264,A01,a001264,1;22;23;9;,2022-08-19,2022-08-23,자가용,수도권 외 거주 39세 이하 커플,1;22;23;9;,23;1;4
a_a004178,A03,a004178,10;22;8;,2022-10-13,2022-10-15,자가용,수도권 거주 39세 이하 부부,10;22;8;,10;22;2
a_a003426,A03,a003426,12;21;22;3;8;,2022-10-21,2022-10-24,자가용,,12;21;22;3;8;,8;9;6
a_a006562,A03,a006562,2;,2022-10-25,2022-10-26,자가용,,2;,2;22;4
a_a003901,A03,a003901,1;12;3;6;,2022-10-04,2022-10-05,자가용,,1;12;3;6;,1;3;12
a_a000780,A03,a000780,1;10;22;23;5;,2022-08-19,2022-08-21,자가용,수도권 거주 39세 이하 3인 이상 친구,1;10;22;23;5;,23;22;5
a_a007436,A02,a007436,1;2;21;23;4;,2022-10-15,2022-10-16,대중교통 등,수도권 거주 39세 이하 커플,1;2;21;23;4;,1;4;26
a_a000342,A03,a000342,1;2;22;24;28;,2022-08-21,2022-08-24,자가용,수도권 거주 39세 이하 커플,1;2;22;24;28;,28;7;24
a_a005139,A01,a005139,1;22;26;4;,2022-10-10,2022-10-11,,수도권 거주 39세 이하 커플,1;22;26;4;,1;22;4
a_a005193,A03,a005193,21;7;,2022-10-03,2022-10-04,,,21;7;,6;21;24
a_a006750,A03,a006750,21;22;26;3;9;,2022-10-08,2022-10-09,자가용,수도권 거주 40세 이상 커플,21;22;26;3;9;,6;22;9
a_a014948,A01,a014948,1;22;4;7;9;,2022-10-29,2022-10-31,대중교통 등,,1;22;4;7;9;,7;4;9
a_a000056,A03,a000056,1;2;3;4;5;,2022-08-08,2022-08-11,대중교통 등,,1;,3;12;26
c_c005920,A03,c005920,22;26;27;,2022-10-16,2022-10-17,대중교통 등,,22;26;27;,2;11;9
a_a015245,A03,a015245,2;,2022-10-30,2022-10-31,자가용,,2;,1;2;6
a_a007424,A03,a007424,21;22;24;3;4;,2022-10-15,2022-10-16,자가용,,21;22;24;3;4;,9;24;2
a_a001623,A01,a001623,1;22;23;24;27;,2022-09-14,2022-09-17,자가용,,1;22;23;24;27;,1;27;23
a_a002426,A03,a002426,3;4;5;6;7;,2022-09-30,2022-10-03,자가용,수도권 거주 40세 이상 나홀로,3;4;5;6;7;,9;3;7
a_a000924,A01,a000924,1;6;,2022-09-05,2022-09-09,자가용,,1;6;,6;4;22
a_a006636,A01,a006636,1;4;6;5;24;7;7;22;21;5;,2022-10-15,2022-10-16,대중교통 등,수도권 거주 39세 이하 커플,1;4;6;5;24;7;7;22;21;5;,6;22;7
a_a003715,A03,a003715,22;25;26;27;28;,2022-10-04,2022-10-07,대중교통 등,,22;25;26;27;28;,22;27;24
a_a004767,A03,a004767,12;2;21;6;9;,2022-10-15,2022-10-16,자가용,,12;2;21;6;9;,2;12;22
a_a003666,A01,a003666,1;22;27;6;,2022-10-21,2022-10-23,대중교통 등,,1;22;27;6;,3;27;28
a_a003517,A03,a003517,28;5;7;,2022-10-22,2022-10-24,자가용,,28;5;7;,5;24;1
b_b006889,A01,b006889,5;,2022-10-09,2022-10-10,대중교통 등,,5;,1;6;21
a_a010333,A03,a010333,21;22;27;6;,2022-10-28,2022-10-30,자가용,수도권 거주 40세 이상 자녀 동반,21;22;27;6;,3;27;21
a_a007533,A01,a007533,21;22;4;7;,2022-10-12,2022-10-13,대중교통 등,,21;22;4;7;,21;22;4
a_a007370,A03,a007370,1;22;26;,2022-10-31,2022-11-01,,,1;22;26;,24;22;1
a_a018006,A01,a018006,1;22;26;3;,2022-11-11,2022-11-12,,,1;22;26;3;,1;3;11
d_d007564,A03,d007564,1;2;22;23;4;,2022-10-29,2022-10-30,대중교통 등,,1;2;22;23;4;,3;21;22
a_a000018,A03,a000018,1;2;28;5;8;,2022-08-05,2022-08-07,자가용,,5;,8;5;28
a_a006045,A02,a006045,5;,2022-10-23,2022-10-24,,수도권 거주 39세 이하 커플,5;,1;11;5
a_a006026,A03,a006026,1;22;6;,2022-10-16,2022-10-17,,수도권 거주 39세 이하 커플,1;22;6;,1;26;22
a_a007941,A03,a007941,6;11;9;,2022-10-22,2022-10-23,,,6;11;9;,11;6;1
a_a006184,A01,a006184,1;22;4;,2022-10-08,2022-10-10,자가용,,1;22;4;,1;22;4
a_a004282,A01,a004282,1;22;26;,2022-10-03,2022-10-04,,수도권 거주 39세 이하 커플,1;22;26;,26;22;4
a_a007058,A01,a007058,1;22;,2022-10-10,2022-10-11,자가용,수도권 거주 39세 이하 커플,1;22;,1;26;22
a_a001730,A03,a001730,3;,2022-09-18,2022-09-19,자가용,,3;,3;6;21
a_a002704,A01,a002704,1;22;26;3;4;,2022-09-22,2022-09-23,자가용,수도권 거주 39세 이하 3인 이상 친구,1;22;26;3;4;,3;6;22
a_a007351,A03,a007351,3;6;,2022-10-15,2022-10-16,,,3;6;,3;6;21
a_a007894,A03,a007894,1;26;4;3;22;,2022-10-30,2022-10-31,자가용,,1;26;4;3;22;,3;1;6
a_a006799,A03,a006799,2;21;22;24;27;,2022-10-10,2022-10-11,자가용,,2;21;22;24;27;,2;1;11
a_a007322,A03,a007322,2;5;,2022-10-15,2022-10-16,,,2;5;,2;5;24
a_a007399,A03,a007399,1;26;,2022-10-27,2022-10-28,,수도권 거주 39세 이하 커플,1;26;,22;24;4
a_a015109,A03,a015109,1;6;3;4;7;21;22;9;,2022-10-29,2022-10-30,대중교통 등,,1;6;3;4;7;21;22;9;,6;4;1
a_a005458,A03,a005458,1;2;21;22;26;,2022-10-02,2022-10-03,자가용,수도권 거주 39세 이하 부부,1;2;21;22;26;,1;22;26
a_a018008,A03,a018008,2;5;6;22;,2022-11-12,2022-11-13,,,2;5;6;22;,1;22;21
a_a004519,A03,a004519,2;22;25;,2022-10-08,2022-10-10,자가용,수도권 거주 39세 이하 커플,2;22;25;,25;22;2
a_a002782,A01,a002782,1;22;23;4;,2022-10-01,2022-10-04,대중교통 등,수도권 외 거주 39세 이하 커플,1;22;23;4;,1;4;10
a_a009615,A02,a009615,2;22;24;4;7;,2022-10-22,2022-10-24,대중교통 등,,2;22;24;4;7;,13;1;2
a_a010365,A03,a010365,21;22;26;8;,2022-10-22,2022-10-24,자가용,수도권 거주 40세 이상 부부,21;22;26;8;,8;13;22
a_a007194,A03,a007194,24;4;,2022-10-22,2022-10-23,,수도권 외 거주 39세 이하 커플,24;4;,4;26;22
a_a005302,A01,a005302,23;4;1;22;5;21;26;,2022-10-23,2022-10-25,대중교통 등,,23;4;1;22;5;21;26;,1;5;23
a_a007264,A03,a007264,22;26;4;5;,2022-10-17,2022-10-18,,,22;26;4;5;,1;22;26
a_a012085,A03,a012085,28;,2022-10-31,2022-11-01,대중교통 등,,28;,28;22;3
a_a002004,A03,a002004,1;10;2;6;7;,2022-09-18,2022-09-20,자가용,수도권 외 거주 39세 이하 3인 이상 친구,1;10;2;6;7;,2;11;1
a_a007138,A03,a007138,27;28;5;,2022-10-15,2022-10-16,대중교통 등,,27;28;5;,5;11;27
a_a002652,A03,a002652,1;2;3;7;,2022-09-25,2022-09-26,자가용,수도권 거주 39세 이하 커플,1;2;3;7;,2;27;1
a_a006263,A03,a006263,1;22;25;,2022-10-09,2022-10-10,자가용,,1;22;25;,28;25;24
a_a005705,A01,a005705,22;4;,2022-10-08,2022-10-09,대중교통 등,,22;4;,22;26;6
a_a001927,A01,a001927,28;3;4;,2022-09-19,2022-09-21,대중교통 등,,28;3;4;,4;3;28
a_a017915,A03,a017915,2;3;4;6;9;,2022-11-12,2022-11-13,,수도권 거주 39세 이하 3인 이상 친구,2;3;4;6;9;,6;22;24
a_a000503,A01,a000503,1;2;23;,2022-08-26,2022-08-31,대중교통 등,,1;2;23;,2;1;23
a_a003653,A03,a003653,1;2;22;24;26;,2022-10-09,2022-10-11,자가용,,1;2;22;24;26;,2;22;26
a_a001532,A02,a001532,1;10;13;3;4;,2022-09-02,2022-09-05,대중교통 등,,1;10;13;3;4;,4;13;10
a_a001107,A03,a001107,21;27;,2022-08-27,2022-08-29,자가용,,21;27;,21;22;12
a_a002155,A03,a002155,21;22;24;3;4;,2022-09-28,2022-09-29,대중교통 등,수도권 거주 40세 이상 나홀로,21;22;24;3;4;,3;12;11
a_a007348,A01,a007348,26;4;,2022-10-17,2022-10-18,,,26;4;,4;22;26
a_a004683,A03,a004683,26;3;6;,2022-10-15,2022-10-16,,,26;3;6;,3;24;9
a_a018147,A03,a018147,22;3;4;,2022-11-12,2022-11-13,,수도권 거주 40세 이상 자녀 동반,22;3;4;,25;4;26
a_a005095,A01,a005095,1;2;3;4;5;,2022-10-10,2022-10-11,자가용,수도권 거주 40세 이상 3인 이상 친구,1;2;3;4;5;,11;4;6
a_a017957,A03,a017957,1;12;22;,2022-11-12,2022-11-13,,수도권 거주 39세 이하 3인 이상 친구,1;12;22;,1;22;26
a_a002219,A01,a002219,1;13;4;,2022-09-21,2022-09-23,대중교통 등,,1;13;4;,13;1;4
a_a000407,A01,a000407,1;21;27;3;6;,2022-08-19,2022-08-22,대중교통 등,,1;21;27;3;6;,1;21;3
a_a001677,A01,a001677,1;22;26;27;7;,2022-09-22,2022-09-24,대중교통 등,,1;22;26;27;7;,1;7;27
a_a005702,A01,a005702,1;22;26;3;4;,2022-10-08,2022-10-10,자가용,수도권 외 거주 39세 이하 커플,1;22;26;3;4;,4;6;21
a_a003372,A03,a003372,11;6;8;,2022-09-25,2022-09-26,자가용,수도권 거주 40세 이상 자녀 동반,11;6;8;,11;6;8
a_a007100,A03,a007100,1;6;,2022-10-27,2022-10-28,대중교통 등,,1;6;,13;11;3
a_a002722,A03,a002722,1;12;3;4;6;,2022-09-20,2022-09-23,대중교통 등,,1;12;3;4;6;,3;1;12
a_a017480,A03,a017480,25;22;,2022-11-05,2022-11-06,자가용,,25;22;,25;22;24
a_a003643,A01,a003643,1;6;,2022-10-15,2022-10-16,대중교통 등,,1;6;,1;6;22
a_a003229,A03,a003229,2;3;,2022-10-08,2022-10-11,자가용,,2;3;,2;3;12
a_a000942,A03,a000942,22;4;6;9;,2022-08-27,2022-08-28,자가용,수도권 외 거주 39세 이하 3인 이상 친구,22;4;6;9;,6;9;22
a_a007607,A01,a007607,11;22;3;4;9;,2022-10-16,2022-10-17,,,11;22;3;4;9;,4;6;3
a_a006002,A01,a006002,11;6;,2022-10-09,2022-10-10,,,11;6;,11;6;4
a_a004093,A03,a004093,21;27;3;,2022-10-01,2022-10-04,자가용,,21;27;3;,8;1;21
a_a005397,A03,a005397,2;3;4;5;6;7;12;13;21;22;,2022-10-04,2022-10-05,자가용,,2;3;4;5;6;7;12;13;21;22;,22;12;26
a_a018046,A03,a018046,1;22;3;4;6;,2022-11-10,2022-11-11,,,1;22;3;4;6;,1;22;26
a_a007866,A03,a007866,4;6;9;,2022-10-15,2022-10-16,대중교통 등,,4;6;9;,3;6;9
a_a006719,A01,a006719,22;4;,2022-10-28,2022-10-29,대중교통 등,,22;4;,22;4;24
a_a007017,A01,a007017,1;3;4;6;9;,2022-10-27,2022-10-28,대중교통 등,수도권 거주 39세 이하 커플,1;3;4;6;9;,3;6;4
a_a000030,A01,a000030,1;3;4;6;7;,2022-08-05,2022-08-08,대중교통 등,,1;,6;24;3
a_a001998,A03,a001998,1;10;12;22;3;,2022-09-24,2022-09-26,대중교통 등,,1;10;12;22;3;,12;1;3
a_a007658,A01,a007658,1;7;6;24;11;22;26;,2022-10-14,2022-10-15,대중교통 등,수도권 거주 39세 이하 커플,1;7;6;24;11;22;26;,6;11;1
a_a001866,A01,a001866,22;23;6;8;,2022-09-24,2022-09-26,자가용,,22;23;6;8;,6;22;23
a_a004417,A03,a004417,8;,2022-10-09,2022-10-11,자가용,,8;,8;24;21
a_a006134,A03,a006134,2;22;,2022-10-17,2022-10-18,자가용,,2;22;,2;22;26
a_a007924,A03,a007924,22;24;27;3;,2022-10-23,2022-10-24,,,22;24;27;3;,27;3;24
a_a001039,A03,a001039,11;21;22;23;6;,2022-09-03,2022-09-05,자가용,수도권 거주 39세 이하 자녀 동반,11;21;22;23;6;,11;6;23
a_a005845,A01,a005845,22;23;7;,2022-10-20,2022-10-23,대중교통 등,,22;23;7;,6;7;22
a_a005246,A03,a005246,1;2;3;4;,2022-10-08,2022-10-09,자가용,,1;2;3;4;,5;22;24
a_a002276,A03,a002276,2;22;26;,2022-09-17,2022-09-18,자가용,,2;22;26;,2;26;22
a_a001278,A03,a001278,2;22;26;27;4;,2022-08-28,2022-08-31,자가용,수도권 거주 39세 이하 자녀 동반,2;22;26;27;4;,8;22;5
a_a000600,A02,a000600,21;3;4;6;9;,2022-09-02,2022-09-03,대중교통 등,수도권 거주 40세 이상 나홀로,21;3;4;6;9;,4;21;22
a_a009947,A02,a009947,4;7;22;26;22;,2022-10-22,2022-10-23,대중교통 등,,4;7;22;26;22;,4;7;22
b_b006351,A03,b006351,22;3;,2022-10-07,2022-10-08,자가용,,22;3;,22;3;12
a_a003244,A01,a003244,3;,2022-09-29,2022-09-30,대중교통 등,수도권 거주 40세 이상 3인 이상 친구,3;,3;22;26
a_a000100,A01,a000100,1;21;22;3;4;,2022-08-13,2022-08-16,대중교통 등,,1;,3;22;26
a_a000386,A03,a000386,10;21;5;6;,2022-08-28,2022-08-30,자가용,,10;21;5;6;,27;24;21
a_a009643,A01,a009643,1;22;6;,2022-10-22,2022-10-24,대중교통 등,,1;22;6;,6;26;3
a_a000647,A01,a000647,1;21;22;26;4;,2022-09-03,2022-09-05,대중교통 등,,1;21;22;26;4;,1;6;26
c_c014246,A02,c014246,1;21;22;28;,2022-11-12,2022-11-13,,충청권에 거주하는 39세 이하 커플,1;21;22;28;,4;22;24
a_a005038,A01,a005038,1;22;24;27;9;,2022-10-08,2022-10-09,자가용,,1;22;24;27;9;,9;4;22
a_a003164,A03,a003164,8;,2022-10-01,2022-10-04,자가용,수도권 거주 40세 이상 자녀 동반,8;,8;5;28
a_a001080,A01,a001080,1;2;22;6;7;,2022-09-04,2022-09-08,대중교통 등,수도권 외 거주 39세 이하 커플,1;2;22;6;7;,23;7;22
a_a000635,A01,a000635,1;22;23;6;9;,2022-08-27,2022-08-30,대중교통 등,,1;22;23;6;9;,9;1;22
a_a008109,A03,a008109,6;7;,2022-10-23,2022-10-24,대중교통 등,수도권 거주 39세 이하 커플,6;7;,6;7;4
a_a012091,A01,a012091,22;4;6;,2022-10-29,2022-10-30,대중교통 등,,22;4;6;,6;9;1
a_a005603,A01,a005603,1;22;4;3;,2022-10-01,2022-10-02,대중교통 등,,1;22;4;3;,4;3;6
a_a000196,A01,a000196,1;2;3;4;6;,2022-08-17,2022-08-20,대중교통 등,수도권 외 거주 39세 이하 커플,1;,2;4;6
c_c000072,A03,c000072,10;23;,2022-08-15,2022-08-17,자가용,,2;,2;7;24
a_a005899,A03,a005899,1;12;2;22;26;,2022-10-09,2022-10-10,자가용,수도권 거주 39세 이하 부부,1;12;2;22;26;,6;12;22
a_a000469,A01,a000469,23;3;4;6;9;,2022-08-27,2022-08-29,대중교통 등,,23;3;4;6;9;,6;11;4
a_a004092,A03,a004092,1;2;27;28;3;,2022-10-02,2022-10-05,자가용,수도권 거주 39세 이하 커플,1;2;27;28;3;,2;12;22
a_a017256,A01,a017256,6;1;22;26;4;,2022-11-05,2022-11-07,대중교통 등,수도권 외 거주 39세 이하 커플,6;1;22;26;4;,6;22;4
a_a003274,A03,a003274,2;22;24;27;,2022-09-30,2022-10-03,대중교통 등,,2;22;24;27;,5;27;2
a_a002616,A01,a002616,22;26;6;,2022-09-20,2022-09-21,대중교통 등,,22;26;6;,6;26;4
a_a009629,A03,a009629,13;4;8;,2022-10-29,2022-10-31,자가용,,13;4;8;,13;4;24
